Description;label;distribution;variable;lower;median;upper
The percentage change of the affected variable if a institutional and policy risk event occurs in AF system;% change if institutional/policy risk event occurs(AF);tnorm_0_1;p_change_institutional_risk_AF;0.4;NA;0.6
The percentage change of the affected variable if a institutional and policy risk event occurs in convetional system;% change if institutional/policy risk event occurs(baseline);const;p_change_institutional_risk_baseline;1;NA;1
The percentage change of the affected variable if a personal risk event occurs;% change if personal risk event occurs;posnorm;p_change_personal_risk;1.5;NA;2.5
Wheat yield under normal conditions in conventianal system (baseline comparisson);Convetional system wheat yield (kg/ha);posnorm;yield_wheat_baseline;6000;NA;10000
Sugar beet yield under normal conditions in conventianal system (baseline comparisson);Convetional system sugar beet yield (kg/ha);posnorm;yield_sugar_beet_baseline;50000;NA;80000
Rape seed yield under normal conditions in conventianal system (baseline comparisson);Convetional system rape seed yield (kg/ha);posnorm;yield_rape_seed_baseline;3000;NA;5000
Conventional system seed cost wheat (EUR/ha) for baseline comparisson;Conventional system seed cost wheat (EUR/ha);posnorm;seed_cost_wheat_baseline;100;NA;160
Conventional system seed cost sugar beet (EUR/ha) for baseline comparisson;Conventional system seed cost sugar beet(EUR/ha);posnorm;seed_cost_sugar_beet_baseline;300;NA;600
Conventional system seed cost rape seed (EUR/ha) for baseline comparisson;Conventional system seed cost rape seed (EUR/ha);posnorm;seed_cost_rape_seed_baseline;70;NA;150
Market price wheat (EUR/kg);Market price wheat (EUR/kg) conventional system;posnorm;price_wheat_baseline;0.2;NA;0.25
Market price sugar beet (EUR/kg);Market price sugar beet (EUR/kg) conventional system;posnorm;price_sugar_beet_baseline;0.04;NA;0.06
Market price rape seed (EUR/kg);Market price rape seed (EUR/kg) conventional system;posnorm;price_rape_seed_baseline;0.4;NA;0.5
Conventional system fuel cost of machinery (EUR/ha/year) for baseline comparisson;Conventional system fuel cost (EUR/ha/year);posnorm;fuel_cost_baseline;100;NA;150
Conventional system fertilizer cost for wheat (EUR/ha/year) for baseline comparisson;Conventional system fertilizer cost (EUR/ha/year);posnorm;fertilizer_cost_baseline;200;NA;300
Cost for crop protection including insecticides, herbicides, etc. (EUR/ha/year);Conventional system crop protection cost (EUR/ha/year);posnorm;crop_protection_cost_baseline;100;NA;200
Yearly machinery cost for conventional system;Conventional system machinery maintenance cost (EUR);posnorm;machinery_maintenance_baseline;1000;NA;3000
Labour cost including weeding, harvesting, etc. (EUR/hour);Labour cost (EUR/hour) conventional system;posnorm;labour_cost_baseline;12;NA;25
Labour hours including weeding, harvesting, pruning, etc. (hour/ha);Labour hours (hour/ha) conventional system;posnorm;labour_hours_baseline;10;NA;30
Leasing cost for the extra land of 25 ha that is required to make the system economically feasible (EUR/ha/year);Leasing cost (EUR/ha/year);posnorm;leasing_cost_baseline;500;NA;600
Extra land that is leased by the farmer;Leased land (ha);const;leased_hectares_baseline;25;NA;25
Land that is owned by the farmer (ha);Owned land (ha);const;owned_hectares_baseline;15;NA;15
Total available land (ha);Total avaialable land (ha) conventional system;const;total_hectares_baseline;40;NA;40
