variable;lower;median;upper;distribution;label;Description
p_change_institutional_risk_AF;0.4;NA;0.6;tnorm_0_1;% change if institutional/policy risk event occurs(AF);The percentage change of the affected variable if a institutional and policy risk event occurs in AF system
p_change_institutional_risk_baseline;1;NA;1;const;% change if institutional/policy risk event occurs(baseline);The percentage change of the affected variable if a institutional and policy risk event occurs in convetional system
p_change_personal_risk;1.5;NA;2.5;posnorm;% change if personal risk event occurs;The percentage change of the affected variable if a personal risk event occurs
yield_wheat_baseline;6000;NA;10000;posnorm;Convetional system wheat yield (kg/ha);Wheat yield under normal conditions in conventianal system (baseline comparisson)
yield_sugar_beet_baseline;50000;NA;80000;posnorm;Convetional system sugar beet yield (kg/ha);Sugar beet yield under normal conditions in conventianal system (baseline comparisson)
yield_rape_seed_baseline;3000;NA;5000;posnorm;Convetional system rape seed yield (kg/ha);Rape seed yield under normal conditions in conventianal system (baseline comparisson)
seed_cost_wheat_baseline;100;NA;160;posnorm;Conventional system seed cost wheat (EUR/ha);Conventional system seed cost wheat (EUR/ha) for baseline comparisson
seed_cost_sugar_beet_baseline;300;NA;600;posnorm;Conventional system seed cost sugar beet(EUR/ha);Conventional system seed cost sugar beet (EUR/ha) for baseline comparisson
seed_cost_rape_seed_baseline;70;NA;150;posnorm;Conventional system seed cost rape seed (EUR/ha);Conventional system seed cost rape seed (EUR/ha) for baseline comparisson
price_wheat_baseline;0.2;NA;0.25;posnorm;Market price wheat (EUR/kg) (conventional system);Market price wheat (EUR/kg)
price_sugar_beet_baseline;0.04;NA;0.06;posnorm;Market price sugar beet (EUR/kg) (conventional system);Market price sugar beet (EUR/kg)
price_rape_seed_baseline;0.4;NA;0.5;posnorm;Market price rape seed (EUR/kg) (conventional system);Market price rape seed (EUR/kg)
fuel_cost_baseline;100;NA;150;posnorm;Conventional system fuel cost (EUR/ha/year);Conventional system fuel cost of machinery (EUR/ha/year) for baseline comparisson
